World_port_index_number,Region_index,Main_port_name,Wpi_country_code,iso3,lat,lon,Publication,Chart,Harbor_2ize_code,First_port_of_e0tr1,Tugs_assist,Commu0icatio0s_air,Commu0icatio0s_rail,Medical_facilities,Supplies_provisio0s,Supplies_water,Supplies_fuel_oil,Supplies_diesel_oil,Drydock
46430,46410,LIBREVILLE,GA,GAB,0.3833333333,9.45,123,57182,3,0,1,1,1,1,1,1,1,0,0
46435,46410,PORT OWENDO,GA,GAB,0.2833333333,9.5,123,57182,2,0,1,1,1,1,0,1,1,0,0
46440,46410,PORT GENTIL,GA,GAB,-0.7,8.8,123,57201,3,0,1,1,1,1,1,1,1,1,0
46445,46410,CAP LOPEZ,GA,GAB,-0.6333333333,8.716666667,123,57201,1,1,1,0,0,0,0,1,1,1,0
46446,46410,OGUENDJO TERMINAL,GA,GAB,-1.466666667,8.916666667,123,57200,2,0,1,0,0,0,0,0,0,0,0
46453,46410,GAMBA OIL TERMINAL,GA,GAB,-2.833333333,10,123,57220,1,1,1,1,0,0,0,0,0,0,0
46454,46410,M'BYA OIL TERMINAL,GA,GAB,-3.883333333,10.93333333,123,57220,1,0,1,0,0,0,0,0,0,0,0
46040,46010,TAKORADI,GH,GHA,4.883333333,-1.733333333,123,57062,3,1,1,1,1,1,1,1,1,1,1
46045,46010,SEKONDI,GH,GHA,4.95,-1.7,123,57062/1,1,1,0,1,1,1,1,1,0,0,0
46063,46010,SALTPOND,GH,GHA,5.2,-1.05,123,57080,1,0,1,0,0,0,0,0,0,0,0
46070,46010,TEMA,GH,GHA,5.616666667,0.01666666667,123,57081/2,2,1,1,1,1,1,1,1,1,1,2
45825,45824,BANJUL,GM,GMB,13.45,-16.56666667,143,51032,1,1,1,1,0,1,1,1,1,0,0
45845,45842,VICTORIA,GN,GIN,10.81666667,-14.56666667,143,51580,1,0,0,0,1,0,1,0,0,0,0
45850,45842,KAMSAR,GN,GIN,10.63333333,-14.61666667,143,51580/03,1,0,1,1,0,1,0,1,1,1,0
45855,45842,CONAKRY,GN,GIN,9.516666667,-13.71666667,143,51601,3,1,1,1,1,1,0,1,1,1,1
45857,45842,BENTI,GN,GIN,9.166666667,-13.2,143,51600,1,0,0,0,0,0,0,0,0,0,0
46305,46300,BATA,GQ,GNQ,1.866666667,9.766666667,123,57170,1,0,1,1,0,1,0,1,0,0,0
46306,46300,PUNTA EUROPA TERMINAL,GQ,GNQ,3.783333333,8.716666667,123,57160,1,1,1,0,0,1,1,0,0,0,0
46310,46300,SERPENTINA TERMINAL,GQ,GNQ,3.8,8.083333333,123,57160,1,0,1,0,0,1,0,0,0,0,0
46320,46300,MALABO,GQ,GNQ,3.75,8.783333333,123,57162,2,1,1,0,0,1,1,1,1,1,0
46330,46300,LUBA,GQ,GNQ,3.5,8.566666667,123,57160,1,0,1,1,0,1,1,1,1,1,0
46335,46300,CEIBA TERMINAL,GQ,GNQ,1.416666667,9.233333333,123,57170,1,0,1,0,0,1,0,0,0,0,0
46340,46300,COGO,GQ,GNQ,1.083333333,9.7,123,57181,1,0,0,0,0,1,0,1,0,0,0
45835,45833,RIO CACHEU,GW,GNB,12.28333333,-16.23333333,143,51560,1,0,0,0,0,0,0,0,0,0,0
45838,45833,BISSAU,GW,GNB,11.86666667,-15.63333333,143,51580,1,1,0,1,0,1,1,1,0,1,0
47800,47760,DIEGO GARCIA,IO,IOT,-7.35,72.46666667,171,61610/1,1,0,1,0,0,1,1,1,0,0,3
47100,47090,MOMBASA,KE,KEN,-4.066666667,39.66666667,171,61212,3,1,1,1,1,1,1,1,1,1,3
47105,47090,KILIFI,KE,KEN,-3.633333333,39.86666667,171,61210,1,0,0,0,0,1,0,0,0,0,0
47107,47090,MALINDI,KE,KEN,-3.216666667,40.13333333,171,61210,2,0,0,1,0,1,0,0,1,1,0
47110,47090,LAMU,KE,KEN,-2.266666667,40.9,171,61221,2,0,0,1,0,1,0,1,0,0,0
47300,47295,MORONI,KM,COM,-11.7,43.25,171,61311,1,0,0,1,0,1,0,0,0,0,0
47310,47295,FOMBONI,KM,COM,-12.26666667,43.75,171,61311,1,1,0,1,0,1,0,0,0,0,0
47320,47295,MOUTSAMOUDU,KM,COM,-12.15,44.4,171,61311,1,1,1,1,0,1,1,1,0,0,0
47340,47295,DZAOUDZI,KM,COM,-12.78333333,45.25,171,61311,1,0,1,1,0,1,1,1,1,1,0
45940,45920,MONROVIA,LR,LBR,6.316666667,-10.81666667,143,51641,2,1,1,1,1,1,1,1,1,1,0
45950,45920,BUCHANAN,LR,LBR,5.866666667,-10.06666667,143,51642,1,1,1,1,1,1,0,1,0,0,0
45952,45920,GREENVILLE,LR,LBR,4.983333333,-9.05,143,51644,1,0,1,1,0,1,1,1,0,1,0
45955,45920,CAPE PALMAS,LR,LBR,4.366666667,-7.716666667,143,51663,1,0,1,1,0,1,1,1,1,1,0
47360,47350,ANDOANY,MG,MDG,-13.4,48.3,171,61420,1,0,1,1,0,1,0,1,0,0,0
47400,47350,MAHAJANGA,MG,MDG,-15.71666667,46.3,171,61434,1,1,1,1,0,1,0,1,0,1,0
47420,47350,MAINTIRANO,MG,MDG,-18.06666667,44.01666667,171,61440,1,0,0,0,0,0,1,0,0,0,0
47430,47350,MORONDAVA,MG,MDG,-20.28333333,44.3,171,61460,1,0,1,1,0,1,0,1,0,0,0
47460,47350,TOLIARA,MG,MDG,-23.36666667,43.66666667,171,61472,1,0,1,1,0,1,0,1,0,0,0
47470,47350,FARADOFAY,MG,MDG,-25.03333333,47,171,61522,1,1,0,1,0,1,1,1,0,0,0
47500,47350,MANAKARA,MG,MDG,-22.11666667,48.05,171,61520,1,0,0,0,0,0,0,0,0,0,0
47510,47350,MANANJARY,MG,MDG,-21.25,48.33333333,171,61530,1,0,0,1,0,1,0,0,0,0,0
47540,47350,TOAMASINA,MG,MDG,-18.16666667,49.41666667,171,61538,2,1,1,1,1,1,1,1,1,1,0
47590,47350,MAROANTSETRA,MG,MDG,-15.45,49.81666667,171,61540,1,0,0,0,0,0,1,0,0,0,0
47620,47350,IHARANA,MG,MDG,-13.35,50,171,61560,1,0,0,0,0,0,1,1,0,0,0
47625,47350,ANTSOHIM BONDRONA,MG,MDG,-13.08333333,48.83333333,171,61410,1,0,1,0,0,1,1,1,1,1,0
47630,47350,ANTISRANANA,MG,MDG,-12.26666667,49.28333333,171,61562,2,1,1,1,0,1,1,1,0,0,2
47720,47710,PORT LOUIS,MU,MUS,-20.15,57.5,171,61592,2,1,1,1,0,1,1,1,1,1,2
47750,47740,PORT MATHURIN,MU,MUS,-19.68333333,63.41666667,171,61601,1,0,1,0,0,0,1,0,0,0,0
