id,date,contact,noSkiffs,pob,activityType,success,shipName,noSeafarers,shipType,flagState,crewSize,waterClass,movementType,locationType,locationDescription,lat,lon,theft,armsType,theftType,theftEstimate,injuryDescription,addlInfo,extraNote,notCounted
0,3/11/2016,,1,8,,FALSE,,0,,,,,,,,2.866666667,4.866666667,,,,,,,,FALSE
0,3/11/2016,,,,,FALSE,,0,,,,,,,,3.05,5.05,,,,,,,,FALSE
0,2/5/2016,,1,7,,FALSE,,0,,,,,,,,4.151944444,6.9675,,,,,,,,FALSE
0,2/5/2016,,1,,,TRUE,,0,,,,,,,,4.033333333,6.9,Minor Robbery,,,,,,,FALSE
0,1/15/2016,,1,,,TRUE,,0,,,,,,,,4.583333333,6.533333333,,,,,,,,FALSE
0,1/18/2016,,,,,TRUE,,0,,,,,,,,5,6.266666667,Minor Robbery,,,,,,,TRUE
0,1/13/2016,,1,,,TRUE,,0,,,,,,,,4.916666667,5.5,,,,,,,,FALSE
0,1/15/2016,,1,10,,TRUE,,0,,,,,,,,4.083333333,5.416666667,Minor Robbery,,,,,,,FALSE
0,1/19/2016,,2,,,FALSE,,0,,,,,,,,3.866666667,5.55,,,,,,,,FALSE
0,4/1/2016,,1,9,,FALSE,,0,,,,,,,,3.9,5.683333333,,,,,,,,FALSE
0,4/7/2016,,1,7,,FALSE,,0,,,,,,,,3.301666667,5.385833333,,,,,,,,FALSE
0,4/10/2016,,1,7,,FALSE,,0,,,,,,,,3.285555556,5.516666667,,,,,,,,FALSE
0,4/18/2016,,1,,,FALSE,,0,,,,,,,,3.9,5.633333333,,,,,,,,FALSE
0,4/19/2016,,1,7,,FALSE,,0,,,,,,,,3.883333333,5.366666667,,,,,,,,FALSE
0,8/5/2016,,1,4,,TRUE,,0,,,,,,,,6.433333333,3.416666667,Bunkering,,,,,,,TRUE
0,4/28/2016,,1,,,FALSE,,0,,,,,,,,3.933333333,4.716666667,,,,,,,,FALSE
0,5/4/2016,,1,,,FALSE,,0,,,,,,,,3.900277778,5.285,,,,,,,,FALSE
